Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,Undersampling,Coefficient,6,waist_circumference,0.4389061940441023
Logistic Regression,Undersampling,Coefficient,7,vigorous_recreational_activity,0.41791019196218054
Logistic Regression,Undersampling,Coefficient,8,energy_kcal,0.40875366703150257
Logistic Regression,Undersampling,Coefficient,9,self_rated_health,0.39237450338286445
Logistic Regression,Undersampling,Coefficient,10,ever_told_hypertension,0.28449289671767364
Logistic Regression,Undersampling,Coefficient,11,hdl_cholesterol_mg_dl,0.2675528947573766
Logistic Regression,Undersampling,Coefficient,12,sex,0.26445431780238826
Logistic Regression,Undersampling,Coefficient,13,total_fat_g,0.24107028679062384
Logistic Regression,Undersampling,Coefficient,14,total_sugar_g,0.21003539895103956
Logistic Regression,Undersampling,Coefficient,15,has_health_insurance,0.1986800572210303
Logistic Regression,Undersampling,Coefficient,16,usual_place_for_healthcare,0.1877401397006765
Logistic Regression,Undersampling,Coefficient,17,mean_systolic_bp,0.16356684400989602
Logistic Regression,Undersampling,Coefficient,18,bmi,0.13702231505518117
Logistic Regression,Undersampling,Coefficient,19,household_food_security_category,0.13532546759025169
Logistic Regression,Undersampling,Coefficient,20,total_cholesterol_mg_dl,0.1219824037879811
Logistic Regression,Undersampling,Coefficient,21,healthcare_visits_past_12_months,0.12128178274704583
Logistic Regression,Undersampling,Coefficient,22,mean_diastolic_bp,0.11989100711279398
Logistic Regression,Undersampling,Coefficient,23,ever_smoked_100_cigarettes,0.09948298137887718
Logistic Regression,Undersampling,Coefficient,24,protein_g,0.08626759028630007
Logistic Regression,Undersampling,Coefficient,25,fiber_g,0.0848795961181296
Logistic Regression,Undersampling,Coefficient,26,carbohydrate_g,0.07846448415814591
Logistic Regression,Undersampling,Coefficient,27,cholesterol_mg,0.06280584310256859
Logistic Regression,Undersampling,Coefficient,28,moderate_work_activity,0.05679040042128741
Logistic Regression,Undersampling,Coefficient,29,education_level,0.04421101229871134
Logistic Regression,Undersampling,Coefficient,30,moderate_recreational_activity,0.040525034960702463
Logistic Regression,Undersampling,Coefficient,31,income_poverty_ratio,0.03918527644393475
Logistic Regression,Undersampling,Coefficient,32,race_ethnicity_2.0,0.03749910674426474
Logistic Regression,Undersampling,Coefficient,33,race_ethnicity_4.0,0.035467048553335524
Logistic Regression,Undersampling,Coefficient,34,vigorous_work_activity,0.03306201607976167
Logistic Regression,Undersampling,Coefficient,35,walk_or_bicycle_transport,0.032999822345951245
Logistic Regression,Undersampling,Coefficient,36,ever_almost_daily_heavy_drinking,0.03206259998512266
Logistic Regression,Undersampling,Coefficient,37,trouble_sleeping_reported_to_doctor,0.02639704623389101
Logistic Regression,Undersampling,Coefficient,38,insurance_gap_past_12_months,0.02582082791614883
Logistic Regression,Undersampling,Coefficient,39,sedentary_minutes_per_day,0.025137350266644366
Logistic Regression,Undersampling,Coefficient,40,phq9_score,0.024171660533667
Logistic Regression,Undersampling,Coefficient,41,adult_food_security_category,0.024152718004075563
Logistic Regression,Undersampling,Coefficient,42,sleep_hours,0.01066752023348659
Logistic Regression,Undersampling,Coefficient,43,physical_activity_moderate_equivalent_min_week,0.007999070794046296
