Model,Strategy,Method,Rank,Feature,Importance
XGBoost,SMOTE,XGBoost Gain,27,ldl_cholesterol_mg_dl,0.00907923374325037
XGBoost,SMOTE,XGBoost Gain,28,race_ethnicity_7.0,0.008448295295238495
XGBoost,SMOTE,XGBoost Gain,29,mean_systolic_bp,0.008089890703558922
XGBoost,SMOTE,XGBoost Gain,30,mean_diastolic_bp,0.008084908127784729
XGBoost,SMOTE,XGBoost Gain,31,fiber_g,0.006235908716917038
XGBoost,SMOTE,XGBoost Gain,32,carbohydrate_g,0.005421226378530264
XGBoost,SMOTE,XGBoost Gain,33,energy_kcal,0.005207286681979895
XGBoost,SMOTE,XGBoost Gain,34,total_fat_g,0.0049913725815713406
XGBoost,SMOTE,XGBoost Gain,35,cholesterol_mg,0.004928520414978266
XGBoost,SMOTE,XGBoost Gain,36,protein_g,0.004509609658271074
